,Momentum,EnergyCold,EnergyHot
47,5.88413828995122e-22,-1.60103972662655e-18,-2.48420377803643e-19
48,-7.59086435976348e-22,-1.87273994622202e-18,-1.91058249831688e-19
49,1.040451229079e-21,-1.76206589376744e-18,-3.61563061558878e-20
50,6.0330020933121e-22,-1.82825003396275e-18,-1.74887420823463e-19
51,3.40563064223437e-22,-1.60590814452065e-18,-1.72892789454041e-19
52,-1.44005114432171e-22,-1.54829687386753e-18,-9.36198245607741e-20
53,-9.46368570754308e-22,-1.85717894504897e-18,-1.65087122740695e-19
54,-4.64928992840515e-22,-1.60020722396086e-18,-1.8901232072722e-19
55,2.50805894783915e-22,-1.97087142691931e-18,-1.34351931826084e-19
56,-2.61076469594301e-22,-1.71052459333388e-18,-1.15356540608354e-19
57,2.66150085079213e-22,-1.65296870590755e-18,-1.25364493941689e-19
58,-4.25230657484964e-23,-1.55779215325338e-18,-1.16101237586062e-19
59,-2.10944673819148e-22,-1.87847304516647e-18,-1.41566575752107e-19
60,6.36262474221332e-22,-1.59356493172147e-18,-1.7603212697799e-19
61,2.04080112694082e-22,-1.77537212525079e-18,-2.93351666938511e-19
62,5.15613982493671e-22,-1.98225932702429e-18,-1.37680844201185e-19
63,-3.18727930314458e-22,-1.62907375687307e-18,-1.46914015511397e-19
64,1.86705142138109e-22,-1.72774066030158e-18,-1.37850956702963e-19
65,2.43268885221264e-22,-1.65116020776556e-18,-7.66668821716665e-20
66,1.95204334341332e-22,-1.54803993450045e-18,-2.20988400552305e-19
67,2.27136055322136e-22,-1.60265781878648e-18,-1.34650023242738e-19
68,-6.36665231349193e-22,-1.59615400865831e-18,-2.89635973699855e-19
69,-1.84729634006088e-22,-1.70820519775966e-18,-1.93392557559183e-19
70,-2.55290995241794e-22,-1.94759839011272e-18,-1.55941656929168e-19
71,-1.82124002823466e-22,-1.81359074844008e-18,-1.74364328965674e-19
72,-7.79692745381683e-22,-1.87917649999206e-18,-1.70409980766798e-19
73,-2.20614428213844e-22,-1.53560644354253e-18,-1.92072030795945e-19
74,6.30848018613597e-24,-1.63011055218972e-18,-1.44943093557096e-19
75,-3.93394126186932e-22,-2.0814696113172e-18,-3.39505549755832e-19
76,-8.21642161141999e-23,-1.71234375359028e-18,-1.91428188324392e-19
77,-6.55615373237646e-22,-1.54793702239759e-18,-2.00990784894089e-19
78,-6.9852071048213e-22,-1.55680515586411e-18,-1.48867893801867e-19
